,Id,Shape,Weight,Clarity,Colour,Cut,Polish,Symmetry,Fluorescence,Length,Width,Depth,Price
0,1667147,CUSHION,0.75,SI2,G,EX,EX,GD,N,5.7,4.86,3.29,2296.25
1,1786495,EMERALD,0.41,IF,G,EX,EX,GD,N,4.89,3.61,2.43,1273.53
2,200722-12,CUSHION,1.7,SI1,H,EX,EX,EX,N,6.9,6.75,4.55,13164.25
3,1649864,ROUND,0.51,SI2,J,EX,EX,EX,M,5.07,5.1,3.18,1508.15
4,1658975,EMERALD,0.5,SI1,I,EX,VG,VG,N,5.34,3.86,2.53,1199.94
5,211003-1098,CUSHION,1.09,SI1,J,EX,EX,EX,ST,6.43,5.45,3.7,2991.07
6,1671477,CUSHION,0.7,SI1,D,EX,EX,VG,F,5.28,4.83,3.24,2600.76
7,212019-271,PEAR,1.0,VVS2,F,GD,EX,VG,F,8.23,5.46,3.55,7178.84
8,1652378,ROUND,0.5,SI1,H,VG,EX,VG,F,4.92,4.99,3.16,2100.82
9,202233-480,CUSHION,0.96,SI2,I,EX,EX,VG,N,5.57,5.43,3.7,2870.92
10,1755558,EMERALD,0.33,VS1,D,EX,VG,VG,F,5.03,3.25,2.04,926.93
11,1754042,ROUND,0.35,VVS1,G,EX,EX,EX,F,4.55,4.58,2.74,1382.59
12,1789927,HEART,0.3,VS2,E,VG,EX,GD,N,4.01,4.73,2.72,1022.45
13,1686032,ROUND,0.66,I1,F,EX,EX,EX,F,5.68,5.71,3.38,1529.25
14,1639020,ROUND,0.5,VS2,G,GD,VG,VG,N,4.87,4.93,3.21,2113.06
15,1795943,MARQUISE,0.3,VS1,D,VG,VG,VG,N,6.55,3.61,2.12,1044.25
16,1787991,MARQUISE,0.5,VS2,D,EX,EX,EX,F,8.82,4.03,2.33,2010.47
17,1777721,PRINCESS,0.51,SI1,G,EX,EX,VG,N,4.56,4.47,3.04,1551.61
18,1638117,CUSHION,0.73,SI1,D,EX,EX,VG,N,5.12,4.98,3.39,2486.84
19,1663713,ROUND,0.5,VVS2,I,EX,EX,EX,F,5.06,5.08,3.18,2337.0
20,1654385,PRINCESS,0.59,VVS2,K,EX,EX,VG,N,4.56,4.53,3.28,1433.29
21,1651827,PRINCESS,0.59,VS2,J,EX,EX,VG,F,4.52,4.44,3.23,1432.27
22,1798880,PRINCESS,0.3,VVS1,E,EX,EX,VG,N,3.84,3.79,2.7,1060.0
23,1789050,EMERALD,0.34,VVS2,E,EX,VG,VG,N,4.72,3.44,2.23,1155.08
24,1635589,ROUND,0.5,SI1,M,EX,EX,EX,N,5.02,5.05,3.17,1124.75
25,1779352,ROUND,0.4,VVS2,I,EX,EX,EX,N,4.66,4.7,2.95,1521.83
26,1797566,PRINCESS,0.3,VVS1,E,EX,EX,VG,N,3.77,3.71,2.53,1038.25
27,1800169,OVAL,0.5,SI1,D,VG,EX,VG,N,6.05,4.43,2.8,1746.62
28,1634071,CUSHION,0.82,VVS2,J,EX,EX,VG,N,5.57,5.07,3.43,2030.12
29,1779952,OVAL,0.35,VS1,E,EX,EX,VG,N,5.78,3.98,2.45,1111.09
30,1790510,ROUND,0.5,SI2,E,VG,EX,VG,N,5.05,5.1,3.13,2020.46
31,1784060,PRINCESS,0.5,VS1,I,EX,EX,GD,N,4.38,4.38,3.17,1588.74
32,1735496,ROUND,0.53,SI2,G,EX,EX,EX,N,5.25,5.28,3.18,2080.19
33,1797722,ROUND,0.5,VVS1,E,GD,EX,GD,M,4.97,5.01,3.23,2077.86
34,1660176,CUSHION,0.5,VS2,G,EX,EX,GD,F,4.52,4.5,3.02,1416.14
35,1800349,PRINCESS,0.51,SI1,J,EX,EX,GD,N,4.48,4.46,3.18,1272.38
36,1790439,ROUND,0.5,SI1,F,EX,EX,EX,F,5.19,5.2,3.11,2347.68
37,1785489,PEAR,0.7,SI1,J,EX,EX,VG,F,7.74,4.8,3.0,2319.63
38,1775881,ROUND,0.5,VVS2,J,EX,EX,EX,N,5.11,5.14,3.18,2074.68
39,200744-40,CUSHION,1.01,SI2,H,EX,EX,EX,N,5.75,5.61,3.79,3590.27
40,1786294,ROUND,0.4,VVS2,I,EX,EX,EX,N,4.71,4.74,2.95,1533.95
41,1791006,EMERALD,0.52,VS2,J,EX,VG,VG,N,5.35,3.87,2.64,1281.09
42,1606827,CUSHION,0.52,VVS2,J,EX,EX,EX,N,4.61,4.51,3.01,1156.87
43,1667372,OVAL,0.5,SI1,D,EX,EX,VG,N,6.96,4.38,2.56,1808.53
44,1785678,PRINCESS,0.51,VS1,I,GD,EX,GD,N,4.17,4.02,3.17,1504.15
