Id,Shape,Weight,Clarity,Colour,Cut,Polish,Symmetry,Fluorescence,Length,Width,Depth,Price
1788728,ROUND,0.5,SI1,I,EX,EX,EX,F,5.08,5.1,3.17,1985.09
1771156,EMERALD,0.4,VS1,H,EX,EX,GD,N,5.21,3.54,2.34,1261.48
1789923,HEART,0.3,VS2,D,VG,EX,GD,F,4.02,4.67,2.69,1041.78
1763984,MARQUISE,0.52,VS1,D,EX,EX,VG,M,8.56,4.23,2.48,1983.2
1648838,CUSHION,0.5,VS1,I,EX,EX,VG,M,4.44,4.43,3.01,1214.62
1789058,EMERALD,0.31,VS1,E,EX,EX,VG,N,4.8,3.14,2.13,1065.24
1791321,PRINCESS,0.3,SI1,H,VG,EX,GD,N,3.77,3.69,2.53,794.37
1787261,ROUND,0.5,SI2,F,EX,VG,EX,N,5.09,5.12,3.19,2070.35
1638263,OVAL,0.51,VVS1,D,EX,EX,EX,N,6.96,4.4,2.62,2299.95
1658635,ROUND,0.5,SI1,E,GD,EX,VG,N,5.18,5.21,2.96,2024.71
1668852,ROUND,0.5,SI1,I,VG,VG,GD,F,4.96,5.01,3.2,1532.76
1634090,CUSHION,0.53,VS2,L,EX,EX,VG,N,4.87,4.43,2.92,973.58
201199-142,CUSHION,1.2,VVS1,H,VG,EX,VG,M,6.88,5.94,3.96,6176.57
1747928,EMERALD,0.4,VS2,F,VG,EX,VG,N,4.68,3.52,2.46,1201.96
1643611,MARQUISE,0.5,VVS1,D,EX,EX,VG,M,7.78,4.27,2.63,1974.76
1733711,ROUND,0.55,SI2,G,EX,EX,EX,N,5.31,5.33,3.19,2088.42
1800860,OVAL,0.5,SI2,H,EX,EX,VG,M,6.78,4.26,2.61,1352.05
1657392,ROUND,0.5,SI2,F,EX,EX,EX,N,5.13,5.16,3.1,2049.78
1796222,PRINCESS,0.4,VS2,E,VG,EX,VG,N,3.98,3.92,2.91,1315.53
1799767,EMERALD,0.4,VS1,G,VG,EX,GD,M,4.71,3.52,2.43,1187.06
1745711,ROUND,0.5,SI1,J,GD,EX,VG,N,4.87,4.93,3.16,1487.23
1800782,HEART,0.31,SI1,E,EX,EX,VG,F,4.23,4.69,2.62,979.25
210451-347,PEAR,1.01,SI1,F,EX,EX,EX,N,8.59,5.67,3.47,6068.45
1777411,EMERALD,0.41,VS2,F,VG,EX,FR,N,5.22,3.68,2.19,1208.28
1608816,PRINCESS,0.6,VS1,I,EX,EX,EX,N,4.47,4.44,3.24,1816.83
1741890,EMERALD,0.42,VVS2,G,EX,EX,VG,M,5.06,3.71,2.35,1137.37
1774622,PRINCESS,0.51,VS1,K,EX,EX,VG,N,4.4,4.32,3.13,1248.17
200715-160,CUSHION,1.21,SI1,W-X,EX,EX,VG,N,6.16,5.96,3.76,2394.42
1797545,PRINCESS,0.51,VS1,J,EX,EX,VG,N,4.28,4.22,3.08,1510.2
1642234,CUSHION,0.81,VS1,H,EX,EX,VG,N,5.27,5.17,3.5,2820.67
1769529,EMERALD,0.4,SI1,G,EX,EX,VG,N,4.95,3.73,2.28,1162.09
1611492,ROUND,0.52,VVS1,J,EX,EX,EX,N,5.21,5.24,3.15,2038.02
1668452,ROUND,0.6,VS2,FANCY,EX,EX,EX,N,5.45,5.46,3.27,1973.48
1765198,PRINCESS,0.5,VVS2,F,EX,VG,GD,F,4.37,4.35,3.15,1721.32
212145-531,PEAR,1.0,SI2,H,VG,VG,VG,N,8.92,5.5,3.42,4441.26
1791706,ROUND,0.31,SI2,G,EX,EX,EX,N,4.31,4.34,2.7,974.56
1639073,ROUND,0.53,VS2,J,EX,EX,EX,N,5.17,5.2,3.2,1983.44
1787967,HEART,0.3,SI1,D,VG,EX,VG,N,3.93,4.58,2.76,984.43
1663252,EMERALD,0.51,VVS2,K,EX,EX,VG,N,5.3,3.92,2.5,1202.1
200656-1050,CUSHION,1.2,SI2,G,EX,EX,VG,F,5.92,5.91,4.0,3425.25
1794668,OVAL,0.34,VVS2,E,EX,EX,VG,N,5.73,3.92,2.35,1183.24
1784071,PRINCESS,0.4,VS1,F,EX,EX,VG,N,4.22,4.15,2.79,1452.81
1761996,OVAL,0.71,SI2,FANCY,EX,EX,VG,N,6.46,4.78,3.01,1404.71
1789695,ROUND,0.34,VS2,F,EX,EX,EX,N,4.45,4.47,2.79,1212.64
1753698,ROUND,0.54,VS1,I,EX,EX,EX,ST,5.2,5.24,3.24,2024.48
211007-718,CUSHION,1.36,VVS2,U-V,EX,EX,VG,M,6.32,5.99,4.04,3215.28
1791217,OVAL,0.3,VS2,E,EX,VG,GD,N,5.8,3.73,2.21,969.79
1778810,PRINCESS,0.5,SI2,G,VG,EX,VG,N,4.35,4.24,3.14,1405.34
1777492,HEART,0.33,VS2,F,EX,EX,VG,N,4.3,4.78,2.69,1132.79
1787925,HEART,0.31,VS1,D,EX,EX,GD,F,3.98,4.73,2.82,1103.42
1646816,ROUND,0.51,VS1,J,EX,EX,EX,N,5.08,5.12,3.18,2059.12
1772177,ROUND,0.4,VS2,G,GD,EX,GD,N,4.66,4.71,2.85,1329.02
201209-957,CUSHION,1.03,VS2,J,EX,EX,EX,N,6.19,5.37,3.65,3663.2
1763317,ROUND,0.5,VS2,F,GD,VG,VG,N,4.85,4.9,3.2,2094.84
1784862,ROUND,0.3,VS2,J,VG,VG,GD,M,4.25,4.31,2.64,836.89
1795900,HEART,0.3,SI1,D,EX,EX,GD,F,3.98,4.73,2.81,1047.87
1781606,OVAL,0.31,VVS2,G,EX,VG,GD,N,5.9,3.7,2.29,963.03
201165-267,CUSHION,1.0,VS1,F,EX,EX,GD,F,5.84,5.47,3.71,4499.39
1672928,OVAL,0.75,SI2,J,EX,EX,VG,N,8.0,5.02,2.92,2355.76
1672816,ROUND,0.5,SI1,I,VG,EX,VG,M,5.01,5.04,3.18,1532.76
1666881,ROUND,0.5,SI2,F,EX,EX,EX,N,5.07,5.08,3.17,2096.53
203221-1598,OVAL,1.02,SI1,L,EX,VG,VG,ST,7.84,5.74,3.48,2237.16
200713-66,CUSHION,1.2,VS1,I,EX,EX,VG,N,6.22,5.77,3.9,5298.17
1773478,EMERALD,0.41,VVS1,F,EX,EX,VG,F,4.97,3.8,2.41,1290.11
1611429,ROUND,0.75,SI2,J,EX,EX,EX,F,5.76,5.79,3.64,2040.7
1787029,ROUND,0.5,VS1,J,EX,EX,EX,N,5.05,5.08,3.17,2048.36
1659082,OVAL,0.5,VS2,D,EX,VG,VG,N,6.53,4.4,2.72,1861.34
1746075,EMERALD,0.3,VS1,F,EX,VG,VG,N,4.52,3.31,2.18,902.81
1645743,ROUND,0.53,VS1,J,EX,EX,EX,F,5.14,5.16,3.23,2047.5
1779277,ROUND,0.5,SI2,F,VG,EX,VG,N,5.01,5.07,3.08,2066.92
1754988,PRINCESS,0.51,VS1,F,EX,EX,VG,N,4.46,4.39,3.11,1782.61
1782813,MARQUISE,0.3,VS1,D,EX,EX,VG,F,7.08,3.52,2.07,1035.13
1775630,PRINCESS,0.34,VS2,H,EX,VG,GD,N,3.87,3.83,2.75,936.77
1658905,CUSHION,0.9,SI2,H,EX,EX,VG,ST,5.72,5.3,3.56,2653.81
1593561,CUSHION,0.5,VVS1,I,EX,EX,VG,N,4.63,4.33,2.92,1320.14
1800777,HEART,0.31,VS2,I,EX,EX,VG,F,4.24,4.63,2.65,861.93
1663850,ROUND,0.5,SI1,D,VG,EX,VG,N,5.03,5.06,3.16,2304.07
1766954,HEART,0.3,SI1,D,VG,VG,GD,N,4.04,4.79,2.67,905.91
1795349,ROUND,0.5,SI1,I,EX,EX,EX,N,5.15,5.18,3.06,2105.05
